id|datetm|cui|type|polarity|text
576763251989479424|Sat Mar 14 15:14:09 UTC 2015|C0085281|2|1|addiction
576763251989479424|Sat Mar 14 15:14:09 UTC 2015|C0087111|5|1|treatment
576763251989479424|Sat Mar 14 15:14:09 UTC 2015|C1533734|5|1|treatment
580742201791156224|Wed Mar 25 14:45:05 UTC 2015|C0037817|3|1|Talk
580742201791156224|Wed Mar 25 14:45:05 UTC 2015|C1263846|2|1|ADHD
580742393437122562|Wed Mar 25 14:45:50 UTC 2015|C0024554|3|1|m
580742427776065536|Wed Mar 25 14:45:59 UTC 2015|C0037313|3|1|SLEEPING
580742427776065536|Wed Mar 25 14:45:59 UTC 2015|C0424522|3|1|SLEEPING
580742427776065536|Wed Mar 25 14:45:59 UTC 2015|C0231377|3|1|im
580742427776065536|Wed Mar 25 14:45:59 UTC 2015|C1170625|1|1|suboxone
580746759468670977|Wed Mar 25 15:03:11 UTC 2015|C0024554|3|1|m
580746759468670977|Wed Mar 25 15:03:11 UTC 2015|C0021390|2|1|IBD
576767433693859840|Sat Mar 14 15:30:46 UTC 2015|C0012634|2|1|Disease
576767433693859840|Sat Mar 14 15:30:46 UTC 2015|C0021390|2|1|IBD
576768777494216706|Sat Mar 14 15:36:07 UTC 2015|C1815389|1|1|Psoriasin
576768897468084225|Sat Mar 14 15:36:35 UTC 2015|C0231377|3|1|im
576768897468084225|Sat Mar 14 15:36:35 UTC 2015|C0030193|3|1|pain
576768897468084225|Sat Mar 14 15:36:35 UTC 2015|C0524222|5|1|OxyContin
576768897468084225|Sat Mar 14 15:36:35 UTC 2015|C0722364|1|1|OxyContin
576769323966033921|Sat Mar 14 15:38:17 UTC 2015|C0939400|1|1|Nexium
576770528737902592|Sat Mar 14 15:43:04 UTC 2015|C1522449|5|1|RT
576770528737902592|Sat Mar 14 15:43:04 UTC 2015|C0233660|2|1|blocking
576770528737902592|Sat Mar 14 15:43:04 UTC 2015|C0001175|2|1|AIDS
576773334492274688|Sat Mar 14 15:54:13 UTC 2015|C0202304|5|1|alcohol
576773567695568896|Sat Mar 14 15:55:09 UTC 2015|C1328247|2|1|abuse
576773567695568896|Sat Mar 14 15:55:09 UTC 2015|C0562381|3|1|abuse
576773567695568896|Sat Mar 14 15:55:09 UTC 2015|C0524222|5|1|OxyContin
576773567695568896|Sat Mar 14 15:55:09 UTC 2015|C0722364|1|1|OxyContin
576773596217024512|Sat Mar 14 15:55:15 UTC 2015|C2979241|1|1|legacy
576773596217024512|Sat Mar 14 15:55:15 UTC 2015|C0524222|5|1|Oxycontin
576773596217024512|Sat Mar 14 15:55:15 UTC 2015|C0722364|1|1|Oxycontin
